FEMALE,AGE,YRS_CLIMBING,START_AGE,PARENTS,HEIGHT,APEINDEX,WEIGHT,BMI,OCC_STUDY,OCC_PART,OCC_FULL,OCC_BOTH,OCC_NEITHER,C_NA,C_CSA,C_EU,C_AS,C_AF,C_OCE,TRAVEL,VACATIONS,INDOOR,OUTDOOR,INOUTDOOR,SPORT,BOULDER,BOUL_SPORT,OTHERSPORT,WHY_FUN,WHY_HEALTH,WHY_SOCIAL,WHY_COMP,WHY_PLACES,WHY_CHALLENGE,CLIMBDAYS,INDOORDAYS,TRAINDAYS,TRAINPCT,TOTALTRAIN,TRAINLENGTH,TRAIN_NA,TRAIN_COACH,TRAIN_BOOK,TRAIN_SELF,TRAIN_RANDOM,TRAIN_CLIMB,FAC_BOULDER,FAC_LEAD,FAC_TOP,FAC_AUTO,FAC_BOARDS,FAC_MOON,FAC_GYM,IN_NA,IN_OUT,IN_IN,FOCUS_FINGER,FOCUS_FOOT,FOCUS_CORE,FOCUS_END,FOCUS_POW,FOCUS_SEQ,FOCUS_DIFF,FOCUS_CARDIO,FOCUS_FLEX,FOCUS_EXPLO,SHOEFIT,DIET_NO,DIET_FISH,DIET_VEGETARIAN,DIET_VEGAN,DIET_OTHER,PREB_WARM,PREB_EASY,PREB_HARD,PRES_WARM,PRES_EASY,PRES_HARD,PROJ_ONSIGHT,PROJ_HOLDS,PROJ_REST,PROJ_TOP,ROUTEQTY,ATTEMPTS,BESTGO,PROJECTING,B_INFLASH,B_INREDP,B_OUTFLASH,B_OUTREDP,B_FLASHCONF,B_SENDCOF,B_AVG,B_INPOTENTIAL,B_OUTPOTENTIAL,S_FLASH,S_REDP,S_FLASHCONF,S_FINISHCONF,S_AVG,S_FPOTENTIAL,S_MPOTENTIAL,S_INCONSISTENCY
1,27,3.0,24.0,1,163.0,0,52.0,19.571681282697877,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0,1,1,1,0,1,1,3,2,0,0.0,0.0,0.0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8,1,1.0,2,3.0,3.0,1.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,3.0,5.0,1.0,3.0,3.0,2.0,-2.0,2.0
0,30,8.0,22.0,0,178.0,-1,67.0,21.146319909102388,0,0,1,0,0,0,0,0,1,0,0,6,2,0,1,0,1,0,0,1,1,1,1,0,1,1,4,2,1,0.5,1.5,1.5,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,5,5,3.0,2,4.0,5.0,3.0,4.0,2.0,3.0,3.5,1.0,1.0,7.0,9.0,3.0,9.0,7.0,2.0,0.0,4.0
0,28,5.0,23.0,0,180.0,0,67.0,20.679012345679013,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,2,1,1,1.0,2.5,2.5,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,3,2.0,1,4.0,6.0,2.0,3.0,2.0,3.0,3.333333333333333,2.0,1.0,5.0,7.0,1.0,3.0,4.0,2.0,-4.0,4.0
1,27,1.0,26.0,0,162.0,0,57.0,21.719250114311837,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,1,1,1.0,2.5,2.5,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2.0,2,3.0,4.0,2.0,3.0,2.0,3.0,2.833333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,30,1.5,28.5,0,173.0,-4,68.0,22.720438370810925,0,0,1,0,0,0,0,0,1,0,0,6,1,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,2,1.0,3.0,1.5,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,3,3.0,2,3.0,4.0,1.0,3.0,2.0,3.0,2.6666666666666665,1.0,2.0,1.0,7.0,1.0,7.0,4.0,6.0,0.0,0.0
1,24,2.0,22.0,0,170.0,0,63.0,21.799307958477513,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,1,0,0,1,4,3,3,1.0,7.5,2.5,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,5,3.0,2,4.0,5.0,2.0,3.0,3.0,4.0,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0
1,25,4.0,21.0,0,166.0,0,53.0,19.233560749020175,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,1,1,0,0,1,1,2,2,1,0.5,1.5,1.5,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2.0,0,2.0,4.0,0.0,0.0,2.0,2.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26,1.0,25.0,0,163.0,-9,61.0,22.959087658549443,0,0,1,0,0,0,0,0,1,0,0,20,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4,2,1.0,0,3.0,4.0,0.0,0.0,2.0,2.0,1.8333333333333333,1.0,0.0,3.0,5.0,3.0,8.0,4.75,2.0,3.0,0.0
1,32,6.0,26.0,0,155.0,1,40.0,16.649323621227886,1,0,0,1,0,0,0,0,1,0,0,6,3,0,0,1,0,1,0,0,1,0,0,0,0,0,5,4,2,0.5,1.0,0.5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,2,1.0,1,5.0,6.0,5.0,5.0,4.0,4.0,4.833333333333333,1.0,0.0,7.0,7.0,5.0,6.0,6.25,0.0,-1.0,2.0
0,25,4.0,21.0,0,168.0,0,64.0,22.67573696145125,1,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,1,0,0,1,1,0,0,0,1,0,5,3,3,1.0,7.5,2.5,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,5,3.0,1,5.0,7.0,4.0,6.0,3.0,6.0,5.166666666666667,2.0,2.0,9.0,14.0,8.0,15.0,11.5,5.0,1.0,1.0
0,23,3.0,20.0,0,180.0,0,70.0,21.604938271604933,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,3,3,3,1.0,4.5,1.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,2.0,0,4.0,6.0,2.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,8.0,1.0,3.0,3.5,6.0,-5.0,1.0
1,19,1.5,17.5,0,163.0,7,56.0,21.0771952275208,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,1,0,1,0,0,0,0,1,6,4,4,1.0,10.0,2.5,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,2.0,1,5.0,7.0,2.0,6.0,4.0,6.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,4.0,16.0,0,173.0,0,65.0,21.718066089745733,1,0,0,1,0,0,1,0,0,0,0,20,2,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,1.0,2,6.0,7.0,4.0,4.0,5.0,6.0,5.333333333333333,1.0,0.0,9.0,12.0,8.0,12.0,10.25,3.0,0.0,1.0
0,24,2.0,22.0,0,174.0,0,67.0,22.12973972783723,1,0,0,1,0,0,1,0,0,0,0,20,1,0,0,1,1,0,0,1,1,1,0,0,0,1,2,1,1,1.0,1.5,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,1,1.0,0,3.0,3.0,3.0,5.0,3.0,5.0,3.6666666666666665,0.0,2.0,1.0,3.0,1.0,2.0,1.75,2.0,-1.0,0.0
0,34,10.0,24.0,0,175.0,5,72.0,23.510204081632647,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,1,1,1,1,0,1,1,3,2,2,1.0,3.0,1.5,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,3,4.0,2,7.0,9.0,7.0,10.0,6.0,7.0,7.666666666666668,2.0,3.0,10.0,17.0,7.0,12.0,11.5,7.0,-5.0,3.0
1,29,4.0,25.0,0,168.0,-5,53.0,18.778344671201822,0,0,1,0,0,0,0,1,0,0,0,6,1,1,0,0,0,1,0,1,1,1,1,0,0,0,2,2,0,0.0,0.0,0.5,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,5,3,2.0,0,5.0,6.0,0.0,0.0,4.0,5.0,3.333333333333333,1.0,0.0,5.0,7.0,4.0,8.0,6.0,2.0,1.0,1.0
0,23,3.0,20.0,0,185.0,5,68.0,19.868517165814463,0,0,1,0,0,0,0,0,0,0,1,6,2,0,1,0,1,0,0,0,1,0,1,0,1,1,3,2,2,1.0,3.0,1.5,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,2.0,2,6.0,10.0,4.0,9.0,4.0,8.0,6.833333333333332,4.0,5.0,12.0,16.0,11.0,17.0,14.0,4.0,1.0,1.0
0,36,12.0,24.0,0,178.0,7,75.0,23.67125362959223,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0,1,1,1,0,1,1,4,2,2,1.0,5.0,2.5,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,15,5,2.5,1,9.0,10.0,6.0,8.0,6.0,8.0,7.833333333333332,1.0,2.0,9.0,12.0,8.0,14.0,10.75,3.0,2.0,1.0
0,22,2.0,20.0,0,181.0,10,73.0,22.28259210646805,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,1,0,0,1,1,4,3,3,1.0,4.5,1.5,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,2.0,2,4.0,5.0,2.0,3.0,3.0,5.0,3.6666666666666665,1.0,1.0,8.0,14.0,7.0,11.0,10.0,6.0,-3.0,1.0
1,29,3.0,26.0,0,163.0,0,55.0,20.70081674131507,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,1,1,1,0,1,0,0,0,2,2,0,0.0,0.0,2.5,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,5,3,2.5,0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,8.0,5.0,9.0,6.75,3.0,1.0,0.0
0,24,1.5,22.5,1,180.0,0,71.0,21.913580246913575,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,4,3,3,1.0,4.5,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,4,1,2.0,1,3.0,4.0,1.0,2.0,2.0,2.0,2.333333333333333,1.0,1.0,8.0,8.0,5.0,7.0,7.0,0.0,-1.0,3.0
0,27,8.0,19.0,0,167.0,0,72.0,25.816630212628635,1,0,0,0,0,0,1,0,0,0,0,20,1,0,0,1,0,1,0,1,1,1,1,0,1,1,2,1,2,2.0,5.0,2.5,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,2,3.0,2,5.0,8.0,4.0,7.0,3.0,4.0,5.166666666666667,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33,5.0,28.0,0,168.0,0,60.0,21.258503401360546,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,1,1,0,0,1,1,0,1,0,1,1,2,1,0,0.0,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,10,3,2.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,3.25,6.0,-5.0,2.0
0,25,2.0,23.0,0,180.0,1,68.0,20.987654320987648,0,1,0,0,0,0,1,0,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7,3,1.0,1,4.0,5.0,3.0,4.0,3.0,4.0,3.8333333333333335,1.0,1.0,4.0,6.0,3.0,7.0,5.0,2.0,1.0,1.0
0,27,6.0,21.0,0,166.0,9,50.0,18.144868631151112,0,0,1,0,0,1,0,0,0,0,0,2,3,0,1,0,1,0,0,0,1,1,1,0,1,1,2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,1,3.0,0,5.0,9.0,4.0,8.0,3.0,6.0,5.833333333333332,4.0,4.0,12.0,12.0,9.0,11.0,11.0,0.0,-1.0,3.0
0,31,10.0,21.0,0,167.0,0,64.0,22.948115744558788,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,1,1,1,1,1,0,1,1,3,2,1,0.5,1.5,1.5,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,2,2.0,1,2.0,4.0,2.0,3.0,2.0,2.0,2.5,2.0,1.0,3.0,6.0,2.0,7.0,4.5,3.0,1.0,1.0
0,26,3.0,23.0,0,188.0,2,81.0,22.91760977818017,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,1,1,0,1,1,3,3,3,1.0,7.5,2.5,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,5,2.5,0,4.0,4.0,0.0,0.0,3.0,3.0,2.333333333333333,0.0,0.0,8.0,8.0,4.0,4.0,6.0,0.0,-4.0,4.0
1,22,3.0,19.0,0,167.0,0,52.0,18.64534404245401,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,2,2,2,1.0,3.0,1.5,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,2,2.0,1,9.0,10.0,9.0,10.0,8.0,9.0,9.166666666666666,1.0,1.0,3.0,6.0,1.0,2.0,3.0,3.0,-4.0,2.0
0,48,3.0,45.0,0,187.0,0,73.0,20.87563270325145,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,2,1,2,2.0,3.0,1.5,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,3.0,3.0,2.0,-2.0,2.0
1,27,8.0,19.0,0,174.0,0,63.0,20.808561236623067,0,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,1,1,0,1,0,1,1,3,2,2,1.0,5.0,2.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,6,3,4.0,1,2.0,3.0,2.0,3.0,2.0,3.0,2.5,1.0,1.0,4.0,10.0,3.0,7.0,6.0,6.0,-3.0,1.0
1,29,3.5,25.5,0,162.0,1,54.0,20.576131687242796,1,0,0,1,0,0,0,1,0,0,0,6,2,0,1,0,1,0,0,0,1,0,1,0,0,1,5,3,3,1.0,7.5,2.5,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,2.0,2,6.0,6.0,3.0,4.0,3.0,4.0,4.333333333333333,0.0,1.0,9.0,13.0,6.0,11.0,9.75,4.0,-2.0,3.0
0,40,24.0,16.0,0,175.0,0,70.0,22.857142857142854,0,0,1,0,0,0,0,1,0,0,0,2,2,0,1,0,1,0,0,1,1,1,1,0,1,1,2,1,1,1.0,0.5,0.5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,5,3,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,6.0,9.0,8.0,3.0,-1.0,1.0
0,25,7.0,18.0,0,170.0,0,70.0,24.22145328719723,0,1,0,0,0,1,0,0,0,0,0,20,3,0,1,0,0,1,0,0,1,1,1,1,1,1,3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,3,2.0,2,6.0,9.0,5.0,8.0,4.0,5.0,6.166666666666668,3.0,3.0,5.0,12.0,5.0,11.0,8.25,7.0,-1.0,0.0
0,20,3.0,17.0,0,170.0,3,66.0,22.837370242214536,1,0,0,0,0,1,0,0,0,0,0,6,2,0,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1.0,7.5,2.5,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,2,1.0,1,6.0,8.0,5.0,7.0,5.0,7.0,6.333333333333332,2.0,2.0,11.0,14.0,10.0,15.0,12.5,3.0,1.0,1.0
1,26,5.0,21.0,0,158.0,0,58.0,23.233456176894727,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,3,2,1,0.5,2.5,2.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,2.5,0,3.0,5.0,2.0,3.0,2.0,4.0,3.1666666666666665,2.0,1.0,6.0,7.0,3.0,5.0,5.25,1.0,-2.0,3.0
1,51,13.0,38.0,0,157.0,-1,59.0,23.93606231490121,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,1,3,3,1,0.3333333333333333,1.5,1.5,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,8,3,3.0,0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,11.0,12.0,9.0,10.0,10.5,1.0,-2.0,2.0
1,31,7.0,24.0,0,161.0,5,61.0,23.53304270668569,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,1,1,0,1,1,3,3,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7,2,2.0,1,2.0,2.0,2.0,3.0,2.0,2.0,2.1666666666666665,0.0,1.0,6.0,9.0,5.0,9.0,7.25,3.0,0.0,1.0
