FEMALE,AGE,YRS_CLIMBING,START_AGE,PARENTS,HEIGHT,APEINDEX,WEIGHT,BMI,OCC_STUDY,OCC_PART,OCC_FULL,OCC_BOTH,OCC_NEITHER,C_NA,C_CSA,C_EU,C_AS,C_AF,C_OCE,TRAVEL,VACATIONS,INDOOR,OUTDOOR,INOUTDOOR,SPORT,BOULDER,BOUL_SPORT,OTHERSPORT,WHY_FUN,WHY_HEALTH,WHY_SOCIAL,WHY_COMP,WHY_PLACES,WHY_CHALLENGE,CLIMBDAYS,INDOORDAYS,TRAINDAYS,TRAINPCT,TOTALTRAIN,TRAINLENGTH,TRAIN_NA,TRAIN_COACH,TRAIN_BOOK,TRAIN_SELF,TRAIN_RANDOM,TRAIN_CLIMB,FAC_BOULDER,FAC_LEAD,FAC_TOP,FAC_AUTO,FAC_BOARDS,FAC_MOON,FAC_GYM,IN_NA,IN_OUT,IN_IN,FOCUS_FINGER,FOCUS_FOOT,FOCUS_CORE,FOCUS_END,FOCUS_POW,FOCUS_SEQ,FOCUS_DIFF,FOCUS_CARDIO,FOCUS_FLEX,FOCUS_EXPLO,SHOEFIT,DIET_NO,DIET_FISH,DIET_VEGETARIAN,DIET_VEGAN,DIET_OTHER,PREB_WARM,PREB_EASY,PREB_HARD,PRES_WARM,PRES_EASY,PRES_HARD,PROJ_ONSIGHT,PROJ_HOLDS,PROJ_REST,PROJ_TOP,ROUTEQTY,ATTEMPTS,BESTGO,PROJECTING,B_INFLASH,B_INREDP,B_OUTFLASH,B_OUTREDP,B_FLASHCONF,B_SENDCOF,B_AVG,B_INPOTENTIAL,B_OUTPOTENTIAL,S_FLASH,S_REDP,S_FLASHCONF,S_FINISHCONF,S_AVG,S_FPOTENTIAL,S_MPOTENTIAL,S_INCONSISTENCY
1.0,0.27906976744186046,0.08196721311475409,0.32558139534883723,1.0,0.22413793103448276,0.43478260869565216,0.17647058823529413,0.3030394937965153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.15,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.26666666666666666,0.0,0.0,1.0,0.2727272727272727,0.25,0.1111111111111111,0.09090909090909091,0.0,0.0,0.13559322033898302,0.0,0.0,0.2,0.2777777777777778,0.08333333333333333,0.17647058823529413,0.19672131147540983,0.25,0.375,0.4
0.0,0.3488372093023256,0.2459016393442623,0.27906976744186046,0.0,0.4827586206896552,0.391304347826087,0.39705882352941174,0.43677676276531785,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.3,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.0,0.125,0.375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.6666666666666666,1.0,0.36363636363636365,0.4166666666666667,0.3333333333333333,0.36363636363636365,0.2222222222222222,0.3333333333333333,0.3559322033898305,0.16666666666666666,0.14285714285714285,0.4666666666666667,0.5,0.25,0.5294117647058824,0.45901639344262296,0.25,0.625,0.8
0.0,0.3023255813953488,0.14754098360655737,0.3023255813953488,0.0,0.5172413793103449,0.43478260869565216,0.39705882352941174,0.3970873786407772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.05,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.20833333333333334,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.5,0.3333333333333333,0.5,0.36363636363636365,0.5,0.2222222222222222,0.2727272727272727,0.2222222222222222,0.3333333333333333,0.33898305084745756,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3888888888888889,0.08333333333333333,0.17647058823529413,0.26229508196721313,0.25,0.125,0.8
1.0,0.27906976744186046,0.01639344262295082,0.37209302325581395,0.0,0.20689655172413793,0.43478260869565216,0.25,0.48543689320388356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.1,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.20833333333333334,0.625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.2222222222222222,0.2727272727272727,0.2222222222222222,0.3333333333333333,0.28813559322033894,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0
0.0,0.3488372093023256,0.03278688524590164,0.43023255813953487,0.0,0.39655172413793105,0.2608695652173913,0.4117647058823529,0.5704698530859614,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.3,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2857142857142857,0.2857142857142857,0.0,0.25,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.5,0.6666666666666666,1.0,0.2727272727272727,0.3333333333333333,0.1111111111111111,0.2727272727272727,0.2222222222222222,0.3333333333333333,0.27118644067796605,0.16666666666666666,0.2857142857142857,0.06666666666666667,0.3888888888888889,0.08333333333333333,0.4117647058823529,0.26229508196721313,0.75,0.625,0.0
1.0,0.20930232558139536,0.04918032786885246,0.27906976744186046,0.0,0.3448275862068966,0.43478260869565216,0.3382352941176471,0.49223636913360524,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.1,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13333333333333333,1.0,0.6666666666666666,1.0,0.36363636363636365,0.4166666666666667,0.2222222222222222,0.2727272727272727,0.3333333333333333,0.4444444444444444,0.3559322033898305,0.16666666666666666,0.14285714285714285,0.0,0.05555555555555555,0.0,0.058823529411764705,0.03278688524590164,0.125,0.625,0.0
1.0,0.23255813953488372,0.11475409836065574,0.2558139534883721,0.0,0.27586206896551724,0.43478260869565216,0.19117647058823528,0.27432222749930607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.15,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.18181818181818182,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1694915254237288,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0
1.0,0.2558139534883721,0.01639344262295082,0.3488372093023256,0.0,0.22413793103448276,0.043478260869565216,0.3088235294117647,0.5907388236601028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,0.25,0.0,0.0,0.2727272727272727,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.18644067796610167,0.16666666666666666,0.0,0.2,0.2777777777777778,0.25,0.47058823529411764,0.3114754098360656,0.25,1.0,0.0
1.0,0.3953488372093023,0.18032786885245902,0.37209302325581395,0.0,0.08620689655172414,0.4782608695652174,0.0,0.054837699402927875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5714285714285714,0.2857142857142857,0.0,0.08333333333333333,0.125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.25,0.0,0.5,0.45454545454545453,0.5,0.5555555555555556,0.45454545454545453,0.4444444444444444,0.4444444444444444,0.4915254237288135,0.16666666666666666,0.0,0.4666666666666667,0.3888888888888889,0.4166666666666667,0.35294117647058826,0.4098360655737705,0.0,0.5,0.4
0.0,0.23255813953488372,0.11475409836065574,0.2558139534883721,0.0,0.3103448275862069,0.43478260869565216,0.35294117647058826,0.5666732712502485,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.15,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.42857142857142855,0.42857142857142855,0.0,0.625,0.625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,1.0,0.6666666666666666,0.5,0.45454545454545453,0.5833333333333334,0.4444444444444444,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.5254237288135594,0.3333333333333333,0.2857142857142857,0.6,0.7777777777777778,0.6666666666666666,0.8823529411764706,0.7540983606557377,0.625,0.75,0.2
