Marca temporal,What is your gender?,"What is your age? (In years. Ej, 27)","What is your height? (in centimeters. Ej, 166)","What is your ape index? (Full armspan minus height). *If you don't know it, put 0",How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How many years have you been climbing?,Is/was any of your parents a climber?,Why do you climb? ,On average how many days do you climb in a week?,How many of those are indoors?,"How many of those do you consider ""training"" sessions?","In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What is your hardest indoor onsight/flash boulder grade?,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,"What grade do you feel a 80+% confidence to say ""I can most likely flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely send that""? ",What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,"When projecting, do you purposely try to visit the same crag in order to focus on your route, or do you simply work it when you happen to go back there?"
5/2/2020 19:52,Female,27,163,0,52,Work fulltime,Asia,Hong Kong,Around thrice a year,Trip that might have some climbing,Both rather equally,Sports climber,3,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V3,V1,V1,V0,V0,"Climb an easy route, meant as a warmup",8,5.10b / 6a+,5.10d / 6b+,5.9 / 6a,5.10b / 6a+,Top-rope it first (sports),Usually 1 one attempt per day,1st attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 20:10,Male,30,178,-1,67,Work fulltime,Asia,Hong Kong ,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,1,Follow a training program by myself,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Other,Yes,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V2,V3,"Climb an easy route, meant as a warmup",5,5.11b / 6c,5.11d / 7a,5.10b / 6a+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 20:36,Male,28,180,0,67,Work fulltime,Asia,Hong Kong,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,5,No,The places it takes you,2,1,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V6,V2,V3,V2,V3,Stretch and warmup (before climbing),4,5.10d / 6b+,5.11b / 6c,5.9 / 6a,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 20:40,Female,27,162,0,57,Work fulltime,Asia,Hong Kong,Around twice a year,Trip that might have some climbing,Both rather equally,Boulderer,1,No,"Fun of the activity in itself, Health",2,1,1,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V4,V2,V3,V2,V3,Stretch and warmup (before climbing),0,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try the holds and moves individually first (boulder),Usually 1 one attempt per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 21:08,Male,30,173,-4,68,Work fulltime,Asia,Hong Kong,Around every 2 months,Trip that might have some climbing,Both rather equally,Both rather equally,1.5,No,"Fun of the activity in itself, For the challenge",3,2,2,Follow a training program by myself,1 to 2 hours,"Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V4,V1,V3,V2,V3,"Climb an easy route, meant as a warmup",2,5.9 / 6a,5.11b / 6c,5.9 / 6a,5.11b / 6c,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 21:22,Female,24,170,0,63,Study,North America,USA,Around twice a year,Trip that might have some climbing,Both rather equally,Boulderer,2,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",4,3,3,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V3,V3,V4,"Climb an easy route, meant as a warmup",4,5.8 / Fr(5) or lower,5.9 / 6a,5.8 / Fr(5) or lower,5.9 / 6a,Try the holds and moves individually first (boulder),Usually more than 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 21:49,Female,25,166,0,53,Work parttime,Oceania,Australia,Around thrice a year,Trip that might have some climbing,Indoor climber,Boulderer,4,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",2,2,1,I just climb more,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Power endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V2,V4,V0,V0,V2,V2,Stretch and warmup (before climbing),0,5.9 / 6a,5.10a / 6a+,5.10a / 6a+,5.10a / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I do not project
5/2/2020 22:44,Female,26,163,-9,61,Work fulltime,Asia,Hong Kong,More than once per month,Trip that might have some climbing,Outdoor climber,Sports climber,1,No,"Fun of the activity in itself, Health",2,0,0,I do not train,I do not train,,I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V3,V4,V0,V0,V2,V2,"Climb an easy route, meant as a warmup",4,5.10b / 6a+,5.10d / 6b+,5.10b / 6a+,5.11c / 6c+,Top-rope it first (sports),Usually 2 attempts per day,1st attempt of the day,I do not project
5/2/2020 22:46,Female,32,155,1,40,Study and work,Asia,Hk,Around every 2 months,Completely a climbing trip,Both rather equally,Boulderer,6,No,Fun of the activity in itself,5,4,2,Follow a training program by myself,Less than an hour,"Bouldering area, Lead climbing area",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strenght, Endurance, Cardio","""Comfy fit""","No, I eat anything",No,Jump straight into the hard stuff,V5,V6,V5,V5,V4,V4,Jump straight into the hard stuff,4,5.11b / 6c,5.11b / 6c,5.10d / 6b+,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 23:15,Male,25,168,0,64,Study,North America,Mexico ,Around thrice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,4,No,"Fun of the activity in itself, The places it takes you",5,3,3,Follow a training program from a book or online course,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,Other,Yes,Stretch and warmup (before climbing),V5,V7,V4,V6,V3,V6,Stretch and warmup (before climbing),5,5.11d / 7a,5.13a / 7c+,5.11c / 6c+,5.13b / 8a,Climb it while resting on every other bolt to explore the moves (sports),Usually more than 3 attempts per day,3rd attempt of the day,I would simply work on it whenever I happen to be there again
